popularity_rank,title,year,genres
375,Top Gun,,"Action, Thriller"
376,Palm Springs,,"Comedy, Romance, Science Fiction"
377,Frances Ha,,"Comedy, Drama"
378,John Wick: Chapter 2,,"Action, Thriller, Crime"
379,Ready Player One,,"Adventure, Action, Science Fiction"
380,Good Time,,"Crime, Thriller"
381,Silver Linings Playbook,,"Drama, Comedy, Romance"
382,"Three Billboards Outside Ebbing, Missouri",,"Crime, Drama"
383,Birds of Prey,and the Fantabulous Emancipation of One Harley Quinn,"Action, Crime"
384,It Chapter Two,,Horror
385,Citizen Kane,,"Mystery, Drama"
386,The Fall Guy,,"Action, Comedy"
387,Elemental,,"Animation, Comedy, Family, Fantasy, Romance"
388,Thor: The Dark World,,"Action, Adventure, Fantasy"
389,Longlegs,,"Crime, Horror, Thriller"
390,Midnight in Paris,,"Fantasy, Comedy, Romance"
391,Zombieland,,"Comedy, Horror"
392,Notting Hill,,"Romance, Comedy"
393,Rear Window,,"Thriller, Mystery"
394,Akira,,"Animation, Science Fiction, Action"
395,A Quiet Place Part II,,"Science Fiction, Thriller, Horror"
396,mid90s,,"Drama, Comedy"
397,The Princess Bride,,"Adventure, Family, Fantasy, Comedy, Romance"
398,Ready or Not,,"Comedy, Horror, Thriller"
399,Guillermo del Toro's Pinocchio,,"Animation, Fantasy, Drama"
400,Ford v Ferrari,,"Drama, Action, History"
401,How to Lose a Guy in 10 Days,,"Comedy, Romance"
402,Green Book,,"Drama, History"
403,Scream,,"Horror, Mystery, Thriller"
404,Ant-Man and the Wasp: Quantumania,,"Action, Adventure, Science Fiction"
405,Beau Is Afraid,,"Comedy, Adventure, Fantasy"
406,Carrie,,"Horror, Thriller"
407,Saw,,"Horror, Mystery, Crime"
408,Scream VI,,"Horror, Crime, Thriller"
409,Love Actually,,"Comedy, Romance, Drama"
410,John Wick: Chapter 3 – Parabellum,,"Action, Thriller, Crime"
411,Leave the World Behind,,"Drama, Mystery, Thriller"
412,Mulan,,"Animation, Family, Adventure"
413,The Queen's Gambit,,Documentary
414,Pitch Perfect,,"Comedy, Music, Romance"
415,The Texas Chain Saw Massacre,,Horror
416,21 Jump Street,,"Action, Comedy, Crime"
417,Shiva Baby,,"Comedy, Drama"
418,Pretty Woman,,"Comedy, Romance"
419,Hot Fuzz,,"Crime, Action, Comedy"
420,Minari,,Drama
421,Snowpiercer,,"Action, Science Fiction, Drama"
422,V for Vendetta,,"Action, Thriller, Science Fiction"
423,Children of Men,,"Drama, Action, Thriller, Science Fiction"
424,Room,,"Drama, Thriller"
425,M3GAN,,"Science Fiction, Horror"
426,Blue Velvet,,"Mystery, Thriller, Crime"
427,The Rocky Horror Picture Show,,"Comedy, Science Fiction, Fantasy, Horror"
428,The Green Knight,,"Adventure, Drama, Fantasy"
429,The Curious Case of Benjamin Button,,"Drama, Fantasy, Romance"
430,Sicario,,"Action, Crime, Thriller"
431,Come and See,,"Drama, War"
432,It Follows,,"Horror, Mystery"
433,The Edge of Seventeen,,"Comedy, Drama"
434,Bird Box,,"Horror, Thriller, Drama"
435,Phantom Thread,,"Drama, Romance"
436,Carol,,"Romance, Drama"
437,No Time to Die,,"Action, Adventure, Thriller"
438,Marie Antoinette,,"Drama, History"
439,Gravity,,"Science Fiction, Thriller, Drama"
440,Nomadland,,Drama
441,Evil Dead Rise,,"Horror, Thriller"
442,Boyhood,,Drama
443,Fantastic Beasts and Where to Find Them,,"Fantasy, Adventure"
444,Mission: Impossible – Dead Reckoning Part One,,"Action, Thriller"
445,"The Good, the Bad and the Ugly",,Western
446,Brave,,"Animation, Adventure, Comedy, Family, Action, Fantasy"
447,Suspiria,,Horror
448,Dungeons & Dragons: Honor Among Thieves,,"Adventure, Fantasy, Comedy"
449,"Paris, Texas",,Drama
450,Wreck-It Ralph,,"Family, Animation, Comedy, Adventure"
451,Jurassic World,,"Action, Adventure, Science Fiction, Thriller"
452,Rise of the Planet of the Apes,,"Thriller, Action, Drama, Science Fiction"
453,Punch-Drunk Love,,"Romance, Drama, Comedy"
454,Another Round,,"Comedy, Drama"
455,The Greatest Showman,,Drama
456,Perfect Days,,Drama
457,I'm Thinking of Ending Things,,"Drama, Fantasy, Mystery, Thriller"
458,Monkey Man,,"Action, Thriller"
459,Rocky,,Drama
460,Love Lies Bleeding,,"Crime, Romance, Thriller"
461,Skyfall,,"Action, Adventure, Thriller"
462,Grease,,"Romance, Comedy"
463,Suspiria,,Horror
464,The Terminator,,"Action, Thriller, Science Fiction"
465,Ocean's Eight,,"Crime, Comedy, Action"
466,American Fiction,,"Comedy, Drama"
467,Ghostbusters,,"Action, Fantasy, Comedy"
468,Terminator 2: Judgment Day,,"Action, Thriller, Science Fiction"
469,The Princess Diaries,,"Comedy, Family, Romance"
470,Crazy Rich Asians,,"Comedy, Romance"
471,Mean Girls,,"Drama, Comedy"
472,Squid Game,,Documentary
473,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,"Comedy, War"
474,12 Years a Slave,,"Drama, History"
475,Pirates of the Caribbean: Dead Man's Chest,,"Adventure, Fantasy, Action"
476,The Cabin in the Woods,,"Horror, Mystery, Thriller"
477,Back to the Future Part II,,"Adventure, Comedy, Science Fiction"
478,Groundhog Day,,"Romance, Fantasy, Drama, Comedy"
479,But I'm a Cheerleader,,"Comedy, Romance"
480,What We Do in the Shadows,,"Comedy, Horror"
481,Alice in Wonderland,,"Family, Fantasy, Adventure"
482,The Usual Suspects,,"Drama, Crime, Thriller"
483,Almost Famous,,"Drama, Music"
484,Finding Dory,,"Adventure, Animation, Comedy, Family"
